BorrowerState,CurrentApprovalAmount,geographic area,2020-04-01 00:00:00,2020-07-01 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00.1,2023-07-01 00:00:00,percapita,LoanAmount_per_100k
AK,709895400.0,Alaska,733374,732964,734923,733276,733406,968.526999961799,96852699.9961799
AL,3824348400.0,Alabama,5024294,5031864,5050380,5073903,5108468,760.0261883071562,76002618.83071561
AR,2213843000.0,Arkansas,3011490,3014348,3028443,3046404,3067732,734.4350897772918,73443508.97772917
AZ,4275620600.0,Arizona,7157902,7186683,7272487,7365684,7431344,594.9365803389408,59493658.03389408
CA,33711850000.0,California,39538212,39503200,39145060,39040616,38965193,853.3954077644343,85339540.77644342
CO,5033065000.0,Colorado,5773707,5785219,5811596,5841039,5877610,869.9869374002955,86998693.74002954
CT,3234588200.0,Connecticut,3605912,3577586,3603691,3608706,3617176,904.1258994193291,90412589.94193292
DE,743736600.0,Delaware,989946,991862,1004881,1019459,1031890,749.8387638602951,74983876.38602951
FL,21863680000.0,Florida,21538216,21591299,21830708,22245521,22610726,1012.6153132333538,101261531.32333538
GA,11815323000.0,Georgia,10713771,10732390,10790385,10913150,11029227,1100.9032120524878,110090321.20524877
HI,1204208000.0,Hawaii,1455274,1451181,1446745,1439399,1435138,829.8124079628936,82981240.79628937
IA,3445721900.0,Iowa,3190427,3190904,3197944,3199693,3207004,1079.8575751573849,107985757.51573849
ID,1374517500.0,Idaho,1839117,1849339,1904537,1938996,1964726,743.2479950944635,74324799.50944635
IL,14098594000.0,Illinois,12813469,12790357,12690341,12582515,12549689,1102.283055273594,110228305.52735941
IN,4560419000.0,Indiana,6785442,6789098,6813798,6832274,6862199,671.7267619350906,67172676.19350906
KS,2671711200.0,Kansas,2937835,2938124,2937946,2936716,2940546,909.3255533122496,90932555.33122495
KY,2766706200.0,Kentucky,4506297,4508155,4507600,4511563,4526154,613.711413205624,61371141.3205624
LA,4788312000.0,Louisiana,4657785,4652022,4627047,4588023,4573749,1029.2969517341062,102929695.17341062
MA,6179409400.0,Massachusetts,7032933,6997713,6991951,6982740,7001399,883.0612813071928,88306128.13071927
MD,4851735000.0,Maryland,6177253,6173689,6175045,6163981,6180253,785.8729262196395,78587292.62196395
ME,1188464300.0,Maine,1363177,1364517,1378787,1389338,1395722,870.9779768225679,87097797.68225679
MI,7748453400.0,Michigan,10077674,10070627,10038117,10033281,10037261,769.4112169977103,76941121.69977103
MN,5231039500.0,Minnesota,5706804,5710578,5717968,5714300,5737915,916.026274047916,91602627.4047916
MO,4941885400.0,Missouri,6154889,6154426,6170393,6177168,6196156,802.980723141362,80298072.31413619
MS,2752061200.0,Mississippi,2961306,2958409,2949582,2938928,2939690,930.2504095951574,93025040.95951574
MT,1126770000.0,Montana,1084244,1087211,1106366,1122878,1132812,1036.3858055152127,103638580.55152127
NC,6571680000.0,North Carolina,10439459,10453812,10567100,10695965,10835491,628.6395569386555,62863955.693865545
ND,1149905300.0,North Dakota,779079,779563,777982,778912,783926,1475.0639524964627,147506395.24964628
NE,2318308600.0,Nebraska,1961965,1963273,1964253,1968060,1978379,1180.8386342602378,118083863.42602378
NH,1217681900.0,New Hampshire,1377524,1378702,1387494,1399003,1402054,883.2089312991495,88320893.12991495
NJ,8163219000.0,New Jersey,9289039,9272392,9269175,9260817,9290841,880.3789727612897,88037897.27612896
NM,1149547800.0,New Mexico,2117525,2118488,2116950,2113476,2114371,542.6265223121396,54262652.231213965
NV,2710380000.0,Nevada,3104617,3115840,3146632,3177421,3194176,869.87137722091,86987137.72209099
NY,18730934000.0,New York,20202320,20104710,19854526,19673200,19571216,931.6689607559622,93166896.07559621
OH,8632364000.0,Ohio,11799331,11798292,11765227,11759697,11785935,731.6621788984372,73166217.88984372
OK,3169727000.0,Oklahoma,3959411,3965234,3991634,4019271,4053824,799.3795513707388,79937955.13707387
OR,3264305700.0,Oregon,4237279,4245044,4256465,4239379,4233358,768.968628829289,76896862.8829289
PA,9117582000.0,Pennsylvania,13002788,12995477,13013614,12972091,12961683,701.596589028629,70159658.90286289
RI,939582400.0,Rhode Island,1097371,1096444,1097092,1093842,1095962,856.9360587499225,85693605.87499225
SC,3590609700.0,South Carolina,5118422,5132151,5193848,5282955,5373555,699.6305572458799,69963055.72458799
SD,1315368300.0,South Dakota,886668,887852,896299,909869,919318,1481.5175502223344,148151755.02223346
TN,5168435700.0,Tennessee,6910786,6926091,6963709,7048976,7126489,746.2269427300334,74622694.27300334
TX,22521926000.0,Texas,29145459,29234361,29561286,30029848,30503301,770.3922665523628,77039226.65523627
UT,2246907600.0,Utah,3271614,3283982,3339284,3381236,3417734,684.2021813761464,68420218.13761464
VA,5745716000.0,Virginia,8631373,8637193,8657348,8679099,8715698,665.2295744693907,66522957.44693907
VT,622482900.0,Vermont,643077,642936,647093,647110,647464,968.1879378351811,96818793.7835181
WA,5561393700.0,Washington,7705267,7724566,7741433,7784477,7812880,719.9619582511173,71996195.82511173
WI,4578023400.0,Wisconsin,5893713,5896700,5879978,5890543,5910955,776.3704146386963,77637041.46386963
WV,885449340.0,West Virginia,1793713,1791562,1785249,1774035,1770071,494.2331574346855,49423315.74346855
WY,659795650.0,Wyoming,576850,577664,579548,581629,584057,1142.1789275426545,114217892.75426544
